aX,aY,aZ,gX,gY,gZ
-0.731,-0.112,0.898,-5.554,41.626,-61.890
-0.731,-0.133,0.867,-8.911,46.753,-63.599
-0.722,-0.155,0.836,-5.981,50.110,-64.941
-1.354,0.380,0.973,5.127,-41.809,78.735
-1.472,0.404,0.991,9.338,-37.598,86.914
-1.561,0.434,1.006,13.367,-31.616,97.351
-1.612,0.466,1.024,19.714,-23.804,106.018
-1.649,0.500,1.038,24.902,-12.573,111.938
-1.695,0.536,1.047,26.489,3.357,114.319
-1.740,0.566,1.047,28.015,23.865,111.206
-1.751,0.600,1.041,31.738,45.288,105.225
-1.729,0.632,1.031,37.354,66.162,96.069
-1.724,0.657,1.015,41.565,88.013,80.017
-1.763,0.668,0.989,41.992,112.122,56.641
-1.790,0.671,0.959,42.725,134.033,30.884
-1.767,0.680,0.935,48.645,153.625,6.592
-1.735,0.688,0.892,58.960,176.880,-16.357
-1.681,0.681,0.841,69.153,200.195,-45.288
-1.588,0.676,0.781,70.862,223.694,-78.430
-1.504,0.661,0.708,66.101,248.047,-114.502
-1.484,0.626,0.620,58.472,270.508,-156.494
-1.518,0.577,0.523,44.495,287.964,-202.576
-1.564,0.528,0.433,24.475,297.668,-248.596
-1.604,0.476,0.355,6.775,300.232,-293.518
-1.661,0.419,0.287,-1.465,298.767,-336.853
-1.714,0.337,0.205,-4.272,296.997,-378.479
-1.745,0.291,0.133,-11.719,291.077,-409.668
-1.858,0.212,0.074,-24.414,283.875,-446.594
-2.007,0.146,0.007,-42.786,276.062,-481.567
-2.073,0.091,-0.027,-58.777,257.263,-507.690
-2.095,0.033,-0.058,-65.796,229.553,-536.255
-2.127,-0.021,-0.079,-76.172,200.012,-567.627
-2.228,-0.099,-0.090,-96.313,169.067,-608.704
-2.348,-0.198,-0.089,-127.747,131.226,-652.893
-2.422,-0.277,-0.047,-165.100,83.435,-682.922
-2.476,-0.348,0.008,-196.716,29.602,-704.773
-2.557,-0.434,0.068,-215.759,-20.142,-726.379
-2.656,-0.527,0.130,-227.356,-67.444,-738.525
-2.674,-0.607,0.211,-243.835,-115.540,-734.253
-2.587,-0.668,0.317,-263.550,-163.147,-715.210
-2.482,-0.709,0.436,-274.170,-204.529,-685.730
-2.391,-0.758,0.526,-258.911,-235.535,-654.663
-2.281,-0.810,0.599,-223.755,-258.850,-621.948
-2.165,-0.854,0.655,-190.430,-271.790,-585.876
-2.037,-0.886,0.696,-171.631,-277.100,-549.988
-1.929,-0.923,0.754,-164.368,-286.926,-520.630
-1.785,-0.949,0.806,-163.147,-296.082,-489.014
-1.658,-0.954,0.850,-163.452,-298.523,-449.463
-1.574,-0.958,0.899,-153.870,-305.542,-374.939
-1.254,-0.969,1.000,-138.733,-308.899,-334.839
-1.091,-0.974,1.030,-119.080,-303.955,-290.771
-0.986,-0.955,1.068,-100.830,-291.870,-242.126
-0.915,-0.932,1.077,-74.951,-276.123,-191.956
-0.839,-0.929,1.081,-49.194,-264.404,-149.475
-0.774,-0.901,1.097,-36.560,-254.883,-105.164
-0.793,-0.857,1.105,-24.597,-240.051,-60.730
-0.862,-0.815,1.089,-1.343,-224.731,-21.362
-0.923,-0.771,1.066,21.118,-215.881,14.160
-0.965,-0.726,1.053,32.288,-210.266,46.631
-1.020,-0.680,1.041,37.842,-206.604,76.294
-1.075,-0.622,1.037,46.265,-204.956,108.398
-1.119,-0.563,1.036,64.087,-207.153,170.532
-1.211,-0.441,1.038,94.788,-212.219,197.083
-1.240,-0.365,1.052,101.013,-214.355,219.543
-1.253,-0.286,1.062,110.962,-213.806,235.596
-1.240,-0.222,1.075,117.737,-213.379,239.136
-1.212,-0.168,1.096,111.511,-211.792,229.919
-1.157,-0.109,1.128,91.736,-205.566,214.294
-1.080,-0.041,1.162,76.294,-196.350,195.312
-0.978,-0.009,1.178,74.097,-181.946,163.818
-0.827,-0.002,1.184,71.960,-167.603,125.916
-0.878,0.005,1.216,63.843,-162.109,94.421
-1.142,0.029,1.210,66.956,-149.170,71.045
-1.392,0.024,1.167,96.130,-137.573,45.105
-1.450,-0.012,1.159,118.835,-143.433,10.132
-1.501,-0.044,1.173,91.919,-146.057,-30.640
-1.539,-0.047,1.221,36.987,-141.113,-69.641
-1.503,-0.055,1.263,11.658,-133.728,-101.318
-1.453,-0.092,1.277,22.095,-120.056,-126.221
-1.417,-0.137,1.271,29.480,-96.436,-143.005
-1.400,-0.166,1.260,16.846,-66.772,-152.405
-1.360,-0.186,1.237,5.737,-35.339,-155.212
-1.267,-0.205,1.190,14.648,-5.493,-153.381
-1.184,-0.229,1.116,33.264,24.292,-147.339
-1.122,-0.277,1.042,37.720,52.002,-145.386
-1.102,-0.301,0.985,20.203,78.186,-140.503
-1.145,-0.321,0.917,10.132,101.257,-131.531
-1.192,-0.356,0.838,19.287,117.493,-122.375
-1.178,-0.387,0.767,28.198,123.779,-107.971
-1.093,-0.405,0.722,24.353,123.596,-90.332
-0.992,-0.406,0.692,16.541,123.230,-69.885
-0.905,-0.399,0.659,19.531,124.878,-47.058
-0.841,-0.393,0.615,35.339,127.258,-23.743
-0.802,-0.393,0.564,49.927,128.601,-3.357
-0.778,-0.389,0.519,49.866,126.526,13.855
-0.751,-0.372,0.494,39.490,120.667,30.701
-0.731,-0.355,0.473,35.278,111.206,45.898
-0.748,-0.339,0.447,40.222,101.013,61.279
-0.782,-0.324,0.419,46.082,89.233,75.867
-0.792,-0.306,0.404,45.166,72.266,88.013
-0.770,-0.282,0.412,37.109,51.941,98.694
-0.755,-0.251,0.434,29.419,33.813,109.802
-0.745,-0.217,0.459,29.724,19.409,121.887
-0.747,-0.178,0.486,36.072,6.531,135.254
-0.765,-0.139,0.506,42.114,-3.845,146.851
-0.773,-0.103,0.531,42.175,-14.954,152.527
-0.777,-0.066,0.564,34.363,-26.794,153.625
-0.794,-0.030,0.599,24.292,-36.560,151.489
-0.805,0.000,0.635,16.785,-45.288,146.179
-0.795,0.027,0.674,12.573,-52.917,139.832
-0.785,0.054,0.709,9.094,-57.922,132.812
-0.781,0.078,0.741,4.883,-58.960,124.512
-0.795,0.101,0.770,1.648,-58.228,116.089
-0.802,0.124,0.797,1.282,-56.458,106.873
-0.794,0.143,0.820,2.869,-54.565,96.130
-0.781,0.157,0.842,2.930,-52.429,83.069
-0.768,0.165,0.859,-1.465,-48.584,65.552
-0.758,0.164,0.881,-11.597,-44.312,44.800
-0.749,0.170,0.903,-22.766,-37.170,26.611
-0.740,0.168,0.917,-22.827,-27.527,9.644
-0.723,0.152,0.915,-14.709,-17.822,-7.080
-0.712,0.127,0.908,-13.550,-7.996,-23.804
-1.267,0.469,0.924,23.682,-8.789,115.540
-1.387,0.492,0.930,25.696,1.587,121.460
-1.525,0.512,0.927,30.701,14.526,126.038
-1.687,0.526,0.923,37.964,26.062,129.028
-1.802,0.545,0.915,42.847,38.269,131.592
-1.854,0.577,0.916,45.654,48.401,133.728
-1.881,0.606,0.913,50.171,59.326,129.211
-1.913,0.627,0.907,52.185,70.923,116.760
-1.953,0.646,0.903,47.852,82.886,97.778
-1.968,0.667,0.902,41.199,96.069,75.073
-1.948,0.687,0.900,41.199,111.084,50.049
-1.916,0.707,0.886,49.438,127.991,22.095
-1.901,0.711,0.860,59.570,147.400,-11.719
-1.928,0.701,0.822,64.148,168.091,-51.453
-1.965,0.682,0.774,64.514,189.758,-92.468
-1.956,0.668,0.722,67.566,208.862,-131.165
-1.937,0.641,0.660,71.960,226.746,-173.035
-1.944,0.599,0.586,68.909,245.361,-220.215
-1.980,0.547,0.501,53.772,263.489,-271.362
-2.059,0.491,0.430,34.607,277.100,-325.012
-2.224,0.415,0.343,23.926,285.095,-377.808
-2.354,0.337,0.273,16.479,288.208,-426.758
-2.426,0.269,0.209,8.301,283.386,-470.520
-2.459,0.202,0.153,-0.732,275.085,-512.878
-2.506,0.120,0.109,-16.785,269.348,-557.922
-2.630,0.064,0.066,-33.020,263.733,-598.145
-2.811,-0.027,0.028,-39.673,255.127,-639.587
-2.950,-0.120,-0.014,-49.255,241.760,-678.467
-3.008,-0.173,-0.027,-62.378,221.985,-697.876
-3.083,-0.248,-0.045,-65.369,199.219,-721.497
-3.187,-0.327,-0.045,-70.374,179.626,-762.634
-3.225,-0.468,-0.052,-102.600,130.981,-781.982
-3.300,-0.540,-0.030,-135.254,96.069,-798.767
-3.365,-0.622,-0.015,-171.204,57.373,-808.411
-3.374,-0.670,0.063,-211.609,9.766,-805.664
