mic
761.288
644.999
188.064
308.041
533.011
624.872
551.837
495.114
392.803
365.851
320.698
282.687
243.187
293.198
297.229
278.320
243.602
225.620
225.654
207.547
229.161
235.033
230.090
249.856
232.094
239.409
217.090
220.603
210.313
220.024
191.968
190.294
179.572
169.434
153.227
150.922
130.924
120.200
110.398
93.717
103.583
83.229
74.791
56.317
68.501
44.799
41.113
16.623
31.645
15.532
19.273
5.783
9.113
15.730
6.535
8.706
5.691
18.652
4.085
16.771
4.655
19.893
17.534
21.639
11.189
21.288
12.314
19.643
3.528
9.873
6.606
11.492
10.171
18.498
2.322
19.770
11.840
29.060
19.081
27.839
17.172
38.220
33.694
46.220
21.970
30.167
32.211
26.989
27.761
34.820
28.077
28.304
10.047
18.620
20.559
20.003
14.381
18.708
18.994
5.784
24.462
14.635
17.667
26.449
16.511
21.164
8.395
12.374
14.886
23.921
6.299
2.401
12.558
20.367
3.920
9.201
4.582
7.977
6.776

608.768
424.343
67.512
471.492
200.942
504.913
592.740
585.679
480.739
406.531
299.438
250.075
283.341
261.296
284.248
267.106
254.067
253.561
222.463
240.408
194.083
238.496
221.144
232.213
215.531
218.913
226.679
231.227
226.285
232.319
207.355
211.417
198.055
201.151
182.460
181.414
150.446
151.891
121.439
121.771
108.469
105.159
80.942
82.489
61.226
58.376
38.733
29.682
17.139
19.279
12.498
13.608
1.912
9.843
5.195
14.463
7.672
6.495
12.567
6.156
18.742
6.909
25.495
7.437
29.631
13.783
27.435
12.578
22.501
5.202
26.881
11.875
31.644
15.364
25.665
21.116
24.113
18.359
21.725
12.238
23.135
11.154
20.766
20.133
28.475
11.262
23.478
8.451
30.047
13.594
28.721
17.088
28.251
3.436
20.470
6.435
18.633
25.683
35.482
7.300
22.049
21.960
52.528
27.075
23.882
20.368
32.002
16.105
48.361
41.438
48.990
32.035
51.051
38.798
44.816
11.506
10.570
16.609
3.109

1041.011
344.172
389.451
562.982
233.421
528.035
117.715
183.680
298.950
167.464
268.496
187.368
388.772
376.744
402.411
323.779
317.559
316.790
260.921
254.587
242.645
219.002
208.115
207.594
241.120
218.302
232.855
189.913
194.411
207.278
208.232
184.070
172.534
136.779
140.003
137.750
128.369
116.247
107.284
102.702
107.201
111.672
86.973
93.013
66.745
65.868
55.583
50.078
30.068
25.293
15.390
11.428
1.299
5.694
9.106
18.274
9.726
5.068
6.147
2.432
5.716
10.034
21.716
27.437
28.754
14.534
23.362
16.205
21.454
9.565
17.074
4.239
16.581
6.643
10.641
11.484
6.641
15.847
5.117
24.895
10.562
29.278
14.080
26.996
14.933
23.073
16.233
27.161
12.428
24.624
4.861
21.795
6.400
17.444
3.755
8.568
2.248
10.478
3.293
12.243
3.899
9.081
2.588
9.543
1.521
9.972
7.646
15.650
2.495
12.685
2.322
9.281
2.029
9.154
5.417
10.120
4.881
3.242
5.475

610.120
609.922
681.652
738.218
857.201
791.163
693.907
475.294
375.122
293.554
